Run,Heating,Interior Equipment,Water Systems,Interior Lighting,Cooling,Fans,Exterior Lighting,Heat Recovery,Pumps
AEDG Baseline,7.58255,7.0129,2.9823,2.8188,2.8349,2.88895,1.7563,0.41655,0.10995
Concrete Envelope,5.6997,7.0129,2.9823,2.8188,2.4828,2.5463,1.7563,0.41465,0.08295
Interior Sound Proofing,5.9883,7.0129,2.9823,2.8188,2.55295,2.5989,1.7563,0.41515,0.0815
Tighter Infilration,4.3737,7.0129,2.9823,2.8188,2.6714,2.5354,1.7563,0.4142,0.0839
No Daylighting controls,4.39455,7.0129,2.9823,3.2567,2.59465,2.49985,1.7563,0.4142,0.08435
No Daylighting windows,3.64485,7.0129,2.9823,3.2567,2.39655,2.3468,1.7563,0.41325,0.0744
Low 0.25 VLT Windows SCIF,3.64485,7.0129,2.9823,3.2567,2.39655,2.3468,1.7563,0.41325,0.0744
Fan Static Pressure Increase,3.3458,7.0129,2.9823,3.2567,2.4416,3.0586,1.7563,0.41325,0.07535
Remove Windows 1st Flr SCIF,3.14485,7.0129,2.9823,3.2567,2.30935,2.97995,1.7563,0.41325,0.06775
