Run,Heating,Interior Equipment,Water Systems,Interior Lighting,Cooling,Fans,Exterior Lighting,Heat Recovery,Pumps
AEDG Baseline,13.6457,7.0129,2.9823,2.8188,4.3121,1.562,1.7563,0.0,0.00615
Concrete Envelope,11.6027,7.0129,2.9823,2.8188,3.624,1.3369,1.7563,0.0,0.00475
Interior Sound Proofing,11.87945,7.0129,2.9823,2.8188,3.705,1.3511,1.7563,0.0,0.00425
Tighter Infilration,9.73455,7.0129,2.9823,2.8188,3.74105,1.32455,1.7563,0.0,0.0038
No Daylighting controls,9.75635,7.0129,2.9823,3.2567,3.5965,1.3184,1.7563,0.0,0.0038
No Daylighting windows,8.646,7.0129,2.9823,3.2567,3.21075,1.18195,1.7563,0.0,0.0033
Low 0.25 VLT Windows SCIF,8.646,7.0129,2.9823,3.2567,3.21075,1.18195,1.7563,0.0,0.0033
Fan Static Pressure Increase,8.49435,7.0129,2.9823,3.2567,3.3382,1.7615,1.7563,0.0,0.0033
Remove Windows 1st Flr SCIF,8.21755,7.0129,2.9823,3.2567,3.10505,1.6786,1.7563,0.0,0.0033
