Run,Heating,Interior Equipment,Water Systems,Interior Lighting,Cooling,Fans,Exterior Lighting,Heat Recovery,Pumps
AEDG Baseline,11.58755,7.0129,2.9823,2.8188,4.9315,1.2203,1.74305,0.0,0.0057
Concrete Envelope,10.21985,7.0129,2.9823,2.8188,4.36515,1.0573,1.74305,0.0,0.00425
Interior Sound Proofing,10.40705,7.0129,2.9823,2.8188,4.44385,1.0682,1.74305,0.0,0.00425
Tighter Infilration,8.5223,7.0129,2.9823,2.8188,4.41445,1.04165,1.74305,0.0,0.0038
No Daylighting controls,8.6332,7.0129,2.9823,3.2567,4.3898,1.04305,1.74305,0.0,0.0038
No Daylighting windows,7.7849,7.0129,2.9823,3.2567,4.04055,0.9426,1.74305,0.0,0.0038
Low 0.25 VLT Windows SCIF,7.7849,7.0129,2.9823,3.2567,4.04055,0.9426,1.74305,0.0,0.0038
Fan Static Pressure Increase,7.6645,7.0129,2.9823,3.2567,4.15475,1.4042,1.74305,0.0,0.0038
Remove Windows 1st Flr SCIF,7.47305,7.0129,2.9823,3.2567,3.9287,1.3407,1.74305,0.0,0.0038
