Run,Heating,Interior Equipment,Water Systems,Interior Lighting,Cooling,Fans,Exterior Lighting,Heat Recovery,Pumps
AEDG Baseline,6.021,7.0129,2.9823,2.8188,3.5344,2.51455,1.74305,0.4142,0.12605
Concrete Envelope,4.6936,7.0129,2.9823,2.8188,3.15435,2.2918,1.74305,0.41185,0.10235
Interior Sound Proofing,4.89215,7.0129,2.9823,2.8188,3.21545,2.32785,1.74305,0.4123,0.1
Tighter Infilration,3.45195,7.0129,2.9823,2.8188,3.31215,2.27715,1.74305,0.4109,0.1019
No Daylighting controls,3.4785,7.0129,2.9823,3.2567,3.2823,2.27335,1.74305,0.4109,0.1038
No Daylighting windows,2.93255,7.0129,2.9823,3.2567,3.09745,2.16385,1.74305,0.40995,0.09385
Low 0.25 VLT Windows SCIF,2.93255,7.0129,2.9823,3.2567,3.09745,2.16385,1.74305,0.40995,0.09385
Fan Static Pressure Increase,2.67855,7.0129,2.9823,3.2567,3.18325,2.8695,1.74305,0.40995,0.0962
Remove Windows 1st Flr SCIF,2.5335,7.0129,2.9823,3.2567,3.0548,2.81215,1.74305,0.40995,0.08675
