Run,Heating,Interior Equipment,Water Systems,Interior Lighting,Cooling,Fans,Exterior Lighting,Heat Recovery,Pumps
AEDG Baseline,9.83265,7.0129,2.9823,2.8283,2.96475,2.5899,1.7743,0.4156,0.11565
Concrete Envelope,8.3664,7.0129,2.9823,2.8283,2.6027,2.37285,1.7743,0.41325,0.091
Interior Sound Proofing,8.86825,7.0129,2.9823,2.8283,2.7771,2.48425,1.7743,0.41325,0.0924
Tighter Infilration,6.34375,7.0129,2.9823,2.8283,2.75245,2.32355,1.7743,0.41275,0.08955
No Daylighting controls,6.3703,7.0129,2.9823,3.26,2.73495,2.325,1.7743,0.41275,0.091
No Daylighting windows,5.4414,7.0129,2.9823,3.26,2.5942,2.21175,1.7743,0.41185,0.08105
Low 0.25 VLT Windows SCIF,5.4414,7.0129,2.9823,3.26,2.5942,2.21175,1.7743,0.41185,0.08105
Fan Static Pressure Increase,5.1002,7.0129,2.9823,3.26,2.6629,2.9207,1.7743,0.41185,0.08105
Remove Windows 1st Flr SCIF,4.8135,7.0129,2.9823,3.26,2.56055,2.86145,1.7743,0.41185,0.073
